Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,50.9273073283,53.5317041604,56.1696450791,58.8412323272,61.5469297111,64.2864836343,67.0646234205,..,..,..
Afghanistan,AFG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Albania,ALB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,87.760337074,87.8604324688,89.4610878765,90.9812043833,91.001022378,91.0203701495,91.0392276676,..,..,..
Albania,ALB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,63.929095881,65.9013944663,67.8933392688,69.9037022597,69.9444998724,69.9843294767,70.0231498384,..,..,..
Algeria,DZA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,92.616462961,92.8383506111,93.0551923509,93.2672733451,93.4745964174,93.5158509757,93.5558881437,..,..,..
Algeria,DZA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.3097661446,99.387100397,99.4644346493,99.5417689016,99.6191031539,99.6964374062,99.7737716585,..,..,..
American Samoa,ASM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,12.5166017226,12.5263486193,12.5360955161,12.5458424128,12.5555893096,12.5653362063,12.575083103,..,..,..
Andorra,AND,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9999954452,100.0000011569,100,99.9999975924,100.0000024449,100,99.9999962827,..,..,..
Andorra,AND,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,90.6399958715,90.6400010486,90.64,90.6399978178,90.640002216,90.64,90.6399966306,..,..,..
Angola,AGO,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,51.1748353521,51.9685422621,52.7573468957,53.5415088775,54.3169268979,55.0842762884,55.8429048722,..,..,..
Angola,AGO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.9721984141,96.8556923452,96.7391862763,96.7391862763,96.7391862763,96.7391862763,96.7391862763,..,..,..
Antigua and Barbuda,ATG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.6665742189,98.8607392984,98.9304118079,99.0002502968,99.0701337805,99.0783746483,..,..,..,..
Argentina,ARG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.5952876141,98.9270428995,99.2616313658,99.5932610286,99.7344128234,99.898535575,99.9133765369,..,..,..
Armenia,ARM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,65.2657313312,68.8264474223,72.3909980319,75.9612400598,79.4349773688,83.005975961,86.4763548512,..,..,..
Aruba,ABW,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,97.5873386289,97.869023381,97.869023381,97.869023381,97.869023381,97.869023381,..,..,..,..
Aruba,ABW,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Australia,AUS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9054021743,99.9259989695,99.9464508541,99.9614811803,99.9700036257,99.9699720221,99.9699355967,..,..,..
Australia,AUS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Austria,AUT,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100.0000028462,100.0000028279,100.0000028131,100,100,..,..,..
Austria,AUT,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.6259438202,98.7088539326,98.7917668568,98.8746769534,98.9094252778,98.907807507,98.9062009732,..,..,..
Azerbaijan,AZE,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,87.2939531093,87.9808685781,88.6665330684,89.3502822141,90.0316862069,90.7103154712,91.3857399437,..,..,..
Azerbaijan,AZE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,70.3220182853,70.852371012,71.3873570496,71.9262809741,72.4689078151,73.0150031465,73.5643314528,..,..,..
"Bahamas, The",BHS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.7159031943,98.75866752,98.8014318458,98.8441961716,98.8869604973,98.8869604973,98.8869604973,..,..,..
"Bahamas, The",BHS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100,100,100,100,100,..,..,..
Bahrain,BHR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.9832621252,98.9832621252,98.9832621252,98.9832621252,98.9832621252,98.9832621252,98.9832621252,..,..,..
Bangladesh,BGD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.539660966,96.6157701028,96.6881124447,96.7567130516,96.821514356,96.8825303368,97.0160055709,..,..,..
Bangladesh,BGD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,55.7110761528,55.6713649,55.6296688082,55.5854809694,55.5394594784,55.4912629603,55.441226393,..,..,..
Barbados,BRB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.434439067,98.444440486,98.4544419049,98.4644433239,98.4744447428,98.4844461618,98.4944475807,..,..,..
Barbados,BRB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,97.2720429428,97.0021589004,96.7297139475,96.454785781,96.464443408,96.4741836645,96.4839711881,..,..,..
Belarus,BLR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,91.2050963814,92.3205651205,93.401654757,94.4490434298,94.4733153147,94.4974324499,94.5213903014,..,..,..
Belgium,BEL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9999991687,99.9999964206,100.000001642,100.000000544,100.0000005407,99.9999986566,100.0000033376,..,..,..
Belgium,BEL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,99.5231848351,99.5231821001,99.5231872966,99.5231862039,99.5231862006,99.5231843254,99.5231889841,..,..,..
Belize,BLZ,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.5876032948,95.2385560624,95.8901849047,96.5422982257,97.175595045,97.584539543,97.9925797872,..,..,..
Belize,BLZ,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Benin,BEN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,64.9812172767,65.2627858768,65.5367577352,65.8044993017,66.0656513251,66.3202399726,66.4147253381,..,..,..
Benin,BEN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9107235911,99.9031400171,99.9031400171,99.9031400171,99.9031400171,99.9031400171,99.9031400171,..,..,..
Bermuda,BMU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,93.5456264327,94.3780959437,95.1911810922,95.9852234633,96.8125041769,97.2076254256,97.2333833352,..,..,..
Bhutan,BTN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,34.0588222084,34.4884688437,34.9106872646,35.3253453131,35.723965149,35.9973189576,36.1631110706,..,..,..
Bolivia,BOL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,88.6618992928,89.3995873136,90.1129125248,90.8089331469,91.4968326985,92.176899202,92.8487351793,..,..,..
Bolivia,BOL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.5948668246,96.4500304384,96.3520022855,96.1681279466,96.1598440895,96.151261805,96.142356085,..,..,..
Bosnia and Herzegovina,BIH,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,88.6503365799,88.7022923556,88.797680113,88.8171851443,88.8251276085,88.8333562014,88.8418949004,..,..,..
Botswana,BWA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,84.3369740524,85.422834008,86.455587947,87.4634180802,88.4462846387,89.4044400847,90.3377133594,..,..,..
Botswana,BWA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.5664726031,96.7983889597,97.0248468579,97.2463708001,97.6059152092,97.8479856205,98.1933926746,..,..,..
Brazil,BRA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.4842465753,99.8643835616,99.8643835616,99.8643835616,99.8643835616,99.8643835616,99.8643835616,..,..,..
British Virgin Islands,VGB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9000090901,99.9000090901,99.9000090901,99.9000090901,99.9000090901,99.9000090901,99.9000090901,..,..,..
Brunei Darussalam,BRN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.354926845,99.3125728565,99.2707184969,99.2293620664,99.1885180609,99.1481753394,99.1083428249,..,..,..
Bulgaria,BGR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,96.9524300901,97.0742566312,97.0345580007,97.0116481887,96.9892616249,96.9673381433,96.9459351945,..,..,..
Burkina Faso,BFA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,50.3668360384,49.920888725,49.4873667703,49.0671799962,48.6604569224,48.2677168843,47.8881273383,..,..,..
Burkina Faso,BFA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,57.127661609,57.7354344073,58.3474079885,58.9625393205,59.5814674031,60.2041520314,60.830548921,..,..,..
Burundi,BDI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,83.511761669,84.0128953985,84.5182393502,85.027754925,85.8788169478,86.4879869932,87.0832080133,..,..,..
Cabo Verde,CPV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,69.1181915867,70.6847513005,72.2505939403,73.8161514524,75.3811058061,76.9453742461,78.5106569314,..,..,..
Cambodia,KHM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,22.3206205575,22.8952670547,23.4746366747,24.0595507108,24.6496989048,25.2451426949,25.8455487851,..,..,..
Cameroon,CMR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,60.2708151465,60.2779866729,60.2698802794,60.2466800391,60.2085656353,60.1557203676,60.3848639474,..,..,..
Cameroon,CMR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Canada,CAN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.2943621628,99.3180832345,99.3417647933,99.365408677,99.3890338401,99.412623806,99.4362440848,..,..,..
Canada,CAN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.5766750624,98.6241377885,98.6715471146,98.7188965252,98.7662217179,98.8134976105,98.8608540487,..,..,..
Cayman Islands,CYM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.125,96.125,96.125,96.125,96.125,96.125,..,..,..,..
Cayman Islands,CYM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,46.9829120084,45.9525792925,46.0378020717,46.1295343188,46.2280819501,46.3337584314,..,..,..,..
Central African Republic,CAF,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Chad,TCD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,39.6516727199,39.4863842737,39.3238946204,39.1640248048,39.0069926404,38.852590777,38.7005994294,..,..,..
Chad,TCD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.15,94.15,94.15,94.15,94.15,94.15,94.15,..,..,..
Channel Islands,CHI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,91.975,91.975,91.975,91.975,91.975,91.975,91.975,..,..,..
Chile,CHL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.6586752589,98.909357546,99.1583042882,99.4000682593,99.6008875958,99.6221801777,99.8327911984,..,..,..
Chile,CHL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,97.0114325951,97.4713290545,97.933847329,98.3100664136,98.4758020065,98.4639654417,98.6391697264,..,..,..
China,CHN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,89.1926903219,89.8685034515,90.5171123161,91.1393447914,91.7349177837,92.3040465732,92.846135513,..,..,..
China,CHN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Colombia,COL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,95.3039553045,95.6581222446,96.0055453903,96.3463531306,96.6808465694,96.9618058236,97.3001096098,..,..,..
Colombia,COL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,71.8429042044,72.0929294147,72.337103524,72.5754898171,72.8085854511,72.997897911,73.2334257422,..,..,..
Comoros,COM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,82.597879552,81.7949141109,80.9975655633,80.2060348892,80.1320028703,80.148853498,80.1675168711,..,..,..
Comoros,COM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,40.0774092316,40.6537405883,41.2318608934,41.8120913442,42.3937820673,42.9767673865,43.2433220399,..,..,..
"Congo, Dem. Rep.",COD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,66.952176026,68.0075720308,69.0595391885,70.1070442779,71.1495847497,72.1866564157,73.2177609739,..,..,..
"Congo, Rep.",COG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,41.3869007294,42.4285810364,43.0132418001,43.598521419,44.1840939164,44.7696323383,45.3548130732,..,..,..
Costa Rica,CRI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.498778857,98.7810640687,99.0461362174,99.2951997674,99.5289827873,99.699763719,99.701513913,..,..,..
Costa Rica,CRI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,92.0944948722,92.4650667859,92.8147978585,93.1448175069,93.4560315526,93.7039007289,93.8027969901,..,..,..
Cote d'Ivoire,CIV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,72.210715142,72.3254612415,72.4372057542,72.5459564381,72.6544633892,72.7620467388,72.86894644,..,..,..
Cote d'Ivoire,CIV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,35.6108401341,35.769512134,35.9260366444,36.0804195546,36.2360745327,36.3921924022,36.5491037137,..,..,..
Croatia,HRV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.3463603564,99.4275271755,99.507755605,99.5869117005,99.5868400925,99.5867545554,99.5866665553,..,..,..
Croatia,HRV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,92.2015655551,91.7846472587,91.3660636669,90.9457063951,90.4526045135,89.9594907584,89.9594112655,..,..,..
Cuba,CUB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.6480270727,94.788442732,94.9238055967,95.0577113211,95.1913358641,95.324523385,95.327582308,..,..,..
Cuba,CUB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.3727452154,99.4352485315,99.4977518475,99.4977518475,99.4977518475,99.4977518475,99.4977518475,..,..,..
Curacao,CUW,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.7314931281,99.7018832154,99.6722769589,99.6426756402,99.6130676542,99.613199365,99.6132861489,..,..,..
Cyprus,CYP,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,99.0024215232,99.4560665033,99.6722769589,99.6426756402,99.6130676542,99.613199365,99.6132861489,..,..,..
Czech Republic,CZE,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.8623374584,99.8681874376,99.8741097371,99.8800158936,99.8800926861,99.8801694879,99.8802587969,..,..,..
Czech Republic,CZE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,97.5133377701,97.6355782411,97.7582259632,97.8804463863,97.8807221781,97.8809979956,97.8813119508,..,..,..
Denmark,DNK,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.999995627,99.9999967365,100.0000032478,100.0000021552,99.9999967812,99.9999989314,99.9999989355,..,..,..
Denmark,DNK,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,96.3244210751,96.635801444,96.7397911423,96.7384920368,96.737210878,96.7359369825,96.7346719358,..,..,..
Djibouti,DJI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,75.5192512239,75.5274241403,75.539885043,75.5561018677,75.5772729608,75.6025127502,75.6323076781,..,..,..
Djibouti,DJI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.5,96.5,96.5,96.5,96.5,..,..,..,..,..
Dominica,DMA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.7766536511,95.1307670712,95.471810309,95.8003702932,96.1169157134,96.5763681047,96.6902247502,..,..,..
Dominican Republic,DOM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
Ecuador,ECU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,90.2433154029,90.9479421824,91.6529985119,92.3582986543,93.0537796798,93.6820477408,93.9945365448,..,..,..
Ecuador,ECU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,72.2746810863,72.7978481534,73.3209818664,73.8438026304,74.3668655599,74.8514112329,75.0680124164,..,..,..
"Egypt, Arab Rep.",EGY,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.67192993,98.7437715069,98.8157949674,98.8879758353,98.9603270743,99.0328567825,99.1057304582,..,..,..
"Egypt, Arab Rep.",EGY,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..
El Salvador,SLV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,91.1193321659,92.3860985869,93.6268378556,94.8416789907,96.0303446016,97.0638562515,97.3883749715,..,..,..
